ÀÏÀÚ,°æº¹±Ã(À¯·á),°æº¹±Ã(¹«·á),°æº¹±Ã(³»±¹ÀÎ),°æº¹±Ã(¿µ¾î±Ç),°æº¹±Ã(ÀÏº»¾î±Ç),°æº¹±Ã(Áß±¹¾î±Ç),°æº¹±Ã(±âÅ¸¿Ü±¹ÀÎ),´ö¼ö±Ã(À¯·á),´ö¼ö±Ã(¹«·á),´ö¼ö±Ã(³»±¹ÀÎ),´ö¼ö±Ã(¿µ¾î±Ç),´ö¼ö±Ã(ÀÏº»¾î±Ç),´ö¼ö±Ã(Áß±¹¾î±Ç),´ö¼ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢°æ±Ã(À¯·á),Ã¢°æ±Ã(¹«·á),Ã¢°æ±Ã(³»±¹ÀÎ),Ã¢°æ±Ã(¿µ¾î±Ç),Ã¢°æ±Ã(ÀÏº»¾î±Ç),Ã¢°æ±Ã(Áß±¹¾î±Ç),Ã¢°æ±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢´ö±Ã(À¯·á),Ã¢´ö±Ã(¹«·á),Ã¢´ö±Ã(³»±¹ÀÎ),Ã¢´ö±Ã(¿µ¾î±Ç),Ã¢´ö±Ã(ÀÏº»¾î±Ç),Ã¢´ö±Ã(Áß±¹¾î±Ç),Ã¢´ö±Ã(±âÅ¸¿Ü±¹ÀÎ)
2012-03-15,6655,934,4398,251,717,2132,91,893,309,862,87,147,106,0,596,428,877,28,111,8,0,2071,430,991,216,1150,131,13
2012-03-16,6311,607,3184,220,1028,2485,1,797,286,653,68,162,149,51,298,240,425,13,93,7,0,1834,275,488,215,1349,50,7
2012-03-17,14897,3485,14693,477,662,2458,92,2917,1351,3744,165,141,188,30,1883,872,2680,25,46,4,0,4271,1306,3429,430,1483,167,68
2012-03-18,14031,3033,13509,172,535,2819,29,2087,866,2326,189,281,157,0,1753,709,2219,42,197,4,0,4710,1190,3122,492,2022,227,37
2012-03-19,7142,892,4823,254,993,1963,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-20,0,0,0,0,0,0,0,1264,340,909,97,344,248,6,660,507,977,20,157,13,0,3016,555,1209,452,1754,141,15
2012-03-21,8688,1684,6297,159,819,3095,2,828,324,823,56,108,150,15,740,375,949,24,128,14,0,2393,374,936,316,1402,92,21
2012-03-22,6906,1711,4322,323,669,3254,49,776,418,860,98,132,104,0,457,354,680,15,108,8,0,2325,692,1507,223,1110,80,97
2012-03-23,3775,748,2515,48,215,1738,7,304,114,281,30,42,51,14,153,62,131,18,66,0,0,1345,165,521,84,825,75,5
2012-03-24,12876,3120,9733,499,1097,4497,170,1734,1441,2549,216,207,195,8,938,647,1417,60,51,54,3,3782,1478,3474,455,1091,166,74
2012-03-25,11559,1777,7924,317,1115,3935,45,1594,736,1788,214,205,102,21,1083,417,1327,41,98,12,22,3735,838,2472,408,1544,70,79
2012-03-26,8412,2630,6829,326,1347,2538,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-27,2231,185,1823,81,166,343,3,1270,299,843,208,384,129,5,531,477,861,44,91,12,0,3115,882,1653,452,1684,159,49
2012-03-28,9209,3331,8996,197,1050,2281,16,1340,376,1334,118,155,108,1,721,501,1089,41,87,5,0,2808,608,1315,571,1408,117,5
2012-03-29,9167,3142,6809,313,1142,3961,84,1077,409,1056,132,154,128,16,682,513,1029,39,117,5,5,2876,603,1443,291,1602,50,93
2012-03-30,7958,2644,6564,97,894,2687,360,1086,397,1145,74,198,66,0,483,352,600,34,162,32,7,2890,604,1444,338,1513,123,76
2012-03-31,16164,3066,12970,629,1203,4376,52,2088,1151,2636,144,266,169,24,1329,751,1872,58,143,7,0,4885,1356,3982,522,1462,221,54
2012-04-01,14126,2788,11856,357,1284,3390,27,2120,803,2191,232,304,88,108,1627,647,2021,68,158,27,0,5006,1325,3376,627,2016,234,78
2012-04-02,9136,1681,6450,299,2231,1837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-03,0,0,0,0,0,0,0,1055,859,1085,134,470,221,4,188,299,359,14,104,10,0,3139,1563,1603,295,2213,225,366
2012-04-04,10294,6170,10479,239,1437,4303,6,996,276,744,229,186,93,20,632,474,901,57,111,27,10,3542,1244,2151,608,1801,207,19
2012-04-05,8001,7300,12477,437,847,1532,8,1094,416,944,103,161,302,0,672,365,836,80,100,16,5,3028,1114,1899,467,1463,292,21
2012-04-06,7349,2127,6079,343,475,2566,13,1007,1296,1734,212,105,234,18,435,318,596,61,78,18,0,2893,621,1328,626,1334,152,74
2012-04-07,16690,3778,14328,514,1077,4405,144,2718,1168,2939,344,362,209,32,2103,791,2638,123,75,57,1,5607,1608,4661,965,1232,295,62
2012-04-08,16521,3119,14684,458,1084,3414,0,3104,1093,3240,312,319,323,3,2439,1011,3232,85,103,30,0,5927,1323,4558,662,1737,250,43
2012-04-09,10063,2623,8250,486,1537,2405,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-10,0,0,0,0,0,0,0,1514,1391,1937,212,369,312,75,649,457,884,58,109,50,5,3996,1787,2629,803,1958,359,34
2012-04-11,15932,2914,12766,275,686,5098,21,2834,901,2929,216,216,321,53,2597,955,3358,116,70,7,1,6096,1402,4673,659,1947,195,24
2012-04-12,9325,3876,8610,135,753,3675,28,1098,649,1209,121,157,260,0,781,615,1246,60,67,21,2,3495,1192,2419,595,1536,127,10
2012-04-13,9874,8170,13552,456,690,3332,14,1499,717,1707,104,145,217,43,1158,1361,2339,44,89,47,0,3682,2085,3517,454,1598,162,36
2012-04-14,21102,5134,18384,592,1297,5905,58,4102,1808,5262,234,201,207,6,4070,1730,5618,81,61,40,0,7096,2127,6619,525,1585,353,141
2012-04-15,20291,3636,17027,659,987,5226,28,4640,1524,5379,160,144,456,25,5522,1814,7113,132,79,8,4,7753,2112,6852,700,1929,326,58
2012-04-16,12179,5746,12013,410,950,4550,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-17,0,0,0,0,0,0,0,3566,2354,4697,250,351,585,37,2418,1841,3929,88,190,52,0,6654,4701,7534,914,2546,330,31
2012-04-18,12405,9331,15485,366,775,5065,45,2451,1435,3258,139,154,335,0,2020,1687,3612,18,35,30,12,4428,2613,4997,475,1322,193,54
2012-04-19,10717,14658,22499,335,757,1562,222,2844,1723,4093,150,144,139,41,2059,1617,3513,42,110,11,0,4573,1987,4170,415,1708,222,45
2012-04-20,11402,10073,16302,235,750,4164,24,3223,829,3433,217,207,183,12,4559,1479,5862,79,89,8,0,4848,2468,5013,474,1725,69,35
2012-04-21,9406,1635,6525,74,487,3915,40,800,470,1073,48,61,79,9,683,251,853,14,62,5,0,2369,1012,2265,191,855,47,23
2012-04-22,9855,995,5765,147,707,4178,53,911,239,716,146,128,134,26,838,226,954,28,49,27,6,3741,555,1917,342,1747,213,77
2012-04-23,12214,6976,12393,634,1799,4362,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-24,0,0,0,0,0,0,0,2901,2045,3538,238,478,626,66,3411,2450,5614,75,153,19,0,6025,5186,7663,897,2296,310,45
2012-04-25,6790,6652,9225,204,1115,2599,299,381,199,350,14,96,109,11,501,128,553,6,66,4,0,2035,911,1477,192,1048,54,175
